epoch,train_loss_total,train_count_mae,train_loss_ce,train_loss_bbox,train_loss_giou,train_loss_query,val_loss_total,val_count_mae,val_loss_ce,val_loss_bbox,val_loss_giou,val_loss_query,val_mae,val_rmse
1,1.1125890458744385,18.516807871003007,0.3604311947549186,0.03091436357080354,0.2987930166811753,0.0,1.0935765381317302,21.035769828926906,0.4038656745714311,0.02482691085151459,0.2827881548038074,0.0,21.035769828926906,76.15405520664541
2,0.8985740407083685,14.18966930855425,0.2982017055183786,0.020242227125586088,0.24958059967305368,0.0,1.0416494251618489,19.42457231726283,0.4226046112141699,0.019816247321242354,0.25998178861954163,0.0,19.42457231726283,70.13692451486844
3,0.8423259577836845,12.70210440010932,0.26733345521368845,0.018283245599533152,0.24178813706781083,0.0,1.0140108468234075,16.07542768273717,0.38392048792666966,0.02143128514420212,0.2614669675242104,0.0,16.07542768273717,69.50008671129223
4,0.8046860481976615,12.188849412407762,0.24827372678172163,0.01710270370434879,0.23544940134155584,0.0,0.9618547756925897,18.8950233281493,0.3364971124484125,0.020823994332788337,0.26061884607557745,0.0,18.8950233281493,71.2741787301316
5,0.7818506137004932,11.164525826728614,0.22984427852462905,0.01671482181320607,0.23421611249178087,0.0,0.9221148670623499,17.90357698289269,0.30417611816708157,0.018893164846159716,0.2617364626719644,0.0,17.90357698289269,70.74870649862524
6,0.7667988360490132,10.107133096474447,0.22633883634976493,0.016092888956691486,0.2299977776989744,0.0,0.9252734721564394,17.154743390357698,0.2936872146247153,0.01970140004717393,0.26653962890569755,0.0,17.154743390357698,70.24968245418953
7,0.7529706153697934,10.521180650450942,0.22009555535504494,0.015682037842891912,0.22723243501211457,0.0,0.9074638157990265,19.608087091757387,0.30555065035471984,0.0177966151129408,0.2564650441796561,0.0,19.608087091757387,73.87589947033162
8,0.7403508962487614,10.158786553703198,0.2169298630837188,0.015054846179538466,0.22407340124375705,0.0,0.9066227229419244,15.44556765163297,0.31408341537047263,0.01781787023326298,0.2517249778110076,0.0,15.44556765163297,65.87095046441593
9,0.7240906876394024,10.11177917463788,0.2118899429928418,0.01455455967147503,0.21971397321181532,0.0,0.8985536823955887,16.902021772939346,0.30432690562813935,0.018113404906370777,0.2518298752536392,0.0,16.902021772939346,66.73011496028425
10,0.7174059657711382,9.640612189122711,0.204550753960154,0.014517842924075233,0.22013299812846054,0.0,0.934523010571396,14.77293934681182,0.30214466348481317,0.020509024564188384,0.26491661211055695,0.0,14.77293934681182,64.47771987910792
11,0.6845130504203905,8.67450122984422,0.1973664553289474,0.012837343389816413,0.21147993878018795,0.0,0.8722941684036937,16.91524105754277,0.290130914860584,0.016731045249788724,0.24925401445310186,0.0,16.91524105754277,66.34436411691472
12,0.6698371297016793,9.064498496857064,0.19272958033948884,0.012317761726780247,0.2077593702948152,0.0,0.8727353084745526,16.286936236391913,0.2897564662321534,0.016733298841125184,0.2496561743666651,0.0,16.286936236391913,65.77457496849492
